Serial No,Month,Ward,Ward No,Measure 1,Measure 2,Measure 3,Measure 4,Measure 5,Measure 6,Measure 7,Measure 8
114,Oct,2,C,4,4,4,3,4,4,4,0
34,Oct,2,B2,4,4,5,4,4,4,3,0
107,Oct,2,B2,4,5,4,4,5,3,4,0
18,Oct,2,B2,4,4,4,4,4,3,4,0
22,Oct,2,B2,5,4,4,4,4,2,4,0
131,Oct,2,C,3,5,5,4,4,4,3,0
106,Oct,2,B2,4,5,5,5,4,4,5,0
142,Oct,2,C,5,5,4,4,3,4,3,0
35,Oct,2,C,4,4,4,4,4,3,3,0
113,Oct,2,C,4,4,4,4,4,4,4,0
111,Oct,2,C,4,4,4,4,4,4,4,0
33,Oct,2,C,3,4,5,3,4,3,3,0
112,Oct,2,C,5,5,5,5,5,5,4,0
133,Oct,2,C,4,4,4,4,4,4,4,0
11,Oct,2,C,4,4,4,5,4,4,4,0
110,Oct,2,C,5,4,4,4,4,4,4,0
118,Oct,2,C,5,5,5,5,4,5,4,0
37,Oct,2,C,2,5,5,5,3,2,4,0
95,Oct,2,B2,4,5,5,5,4,4,4,0
102,Oct,2,C,4,4,4,5,4,4,4,0
17,Oct,2,C,4,4,3,4,4,3,3,0
48,Oct,2,C,4,4,5,4,4,4,4,0
117,Oct,2,B2,4,5,5,5,4,4,5,0
130,Oct,2,C,4,4,4,4,4,3,3,0
134,Oct,2,C,3,3,5,5,3,3,3,0
26,Oct,2,C,3,4,3,4,4,2,3,0
21,Oct,2,C,4,4,4,5,5,2,3,0
20,Oct,2,C,3,4,4,4,4,3,3,0
30,Oct,2,B2,3,4,3,4,3,1,3,0
42,Oct,2,B2,3,3,4,4,4,3,3,0
31,Oct,2,B2,4,4,4,4,4,2,4,0
28,Oct,2,B2,4,4,4,4,4,3,3,0
129,Oct,2,B2,3,5,4,4,4,4,4,0
105,Oct,2,B2,4,4,4,4,4,4,4,0
41,Oct,2,C,4,4,4,3,4,3,5,0
27,Oct,2,B2,5,5,5,5,5,3,3,0
24,Oct,2,C,3,5,5,5,3,4,5,0
10,Oct,2,B2,4,4,4,4,4,4,4,0
137,Oct,2,B2,2,3,3,4,4,3,3,0
135,Oct,2,C,4,4,4,4,4,4,4,0
136,Oct,2,B2,2,3,4,3,3,3,3,0
29,Oct,2,B2,4,4,4,4,4,2,3,0
36,Oct,2,C,4,4,4,5,4,3,5,0
38,Oct,2,B2,4,4,4,4,4,3,4,0
2,Oct,2,B2,3,4,3,5,2,3,3,0
132,Oct,2,C,4,4,4,4,4,3,4,0
39,Oct,2,B2,4,4,4,4,4,3,4,0
155,Nov,2,B2,4,4,4,4,4,4,4,0
52,Nov,2,C,4,4,4,4,3,3,4,0
54,Nov,2,B2,4,4,4,5,4,4,4,0
59,Nov,2,B2,3,4,4,5,4,4,4,0
138,Nov,2,B2,4,5,4,4,4,4,4,0
142,Nov,2,C,4,4,4,4,4,4,4,0
78,Nov,2,C,4,4,3,3,4,2,4,0
58,Nov,2,C,4,4,4,4,3,3,3,0
133,Nov,2,C,4,4,4,4,4,4,4,0
55,Nov,2,B2,4,4,3,5,4,4,5,0
79,Nov,2,C,3,4,4,4,4,3,4,0
147,Nov,2,C,5,5,5,5,4,4,5,0
143,Nov,2,C,4,4,4,4,4,3,4,0
65,Nov,2,C,4,4,4,4,4,2,4,0
136,Nov,2,B2,3,4,4,4,4,4,4,0
156,Nov,2,C,4,5,4,5,4,3,4,0
76,Nov,2,C,4,4,4,4,4,2,4,0
75,Nov,2,C,3,4,4,4,4,2,4,0
150,Nov,2,C,3,3,3,4,3,3,2,0
72,Nov,2,C,3,5,4,4,4,2,3,0
134,Nov,2,C,5,5,4,5,4,4,4,0
151,Nov,2,C,3,4,5,4,4,4,4,0
139,Nov,2,C,4,5,4,4,4,4,4,0
70,Nov,2,B2,2,5,5,4,4,2,4,0
141,Nov,2,C,4,5,5,4,4,4,4,0
