"","Planning Area","Subzone","Planning Region","Total","young","old","Economically Active","% Young","% Old","% Economically Active","Year"
"55","Bukit Panjang","Dairy Farm","West Region",6520,2000,590,3930,30.6747995785283,9.04906587566583,60.275981171808,2017
"56","Bukit Panjang","Fajar","West Region",28770,8990,2610,17180,31.2369592644339,9.06879462515823,59.6942113640683,2017
"57","Bukit Panjang","Jelebu","West Region",32130,8920,3720,19500,27.7535694606193,11.5743585642942,60.6720408612194,2017
"58","Bukit Panjang","Nature Reserve","West Region",3870,1160,410,2300,29.9740827543081,10.5942878700572,59.4313709783696,2017
"59","Bukit Panjang","Saujana","West Region",26390,8350,2050,15980,31.6527552491451,7.77103571984999,60.5761711235136,2017
"60","Bukit Panjang","Senja","West Region",21020,6840,1750,12440,32.5249488706853,8.32144159703205,59.1535619811878,2017
"61","Bukit Timah","Anak Bukit","Central Region",21970,6080,3420,12480,27.6614978792093,15.5595925570553,56.7788640678507,2017
"62","Bukit Timah","Coronation Road","Central Region",6260,1880,1050,3330,30.0319009075065,16.7731361451499,53.1948032031898,2017
"63","Bukit Timah","Farrer Court","Central Region",6000,1760,860,3400,29.2358318341664,14.2856905553313,56.4783114978214,2017
"64","Bukit Timah","Hillcrest","Central Region",8980,2780,1310,4910,30.8888545679394,14.555539382734,54.555494938339,2017
"65","Bukit Timah","Holland Road","Central Region",10440,3370,1320,5770,32.2179424302654,12.6194908035461,55.1624711639855,2017
"66","Bukit Timah","Leedon Park","Central Region",6400,1730,1000,3650,27.1159449593339,15.6739566238924,57.2099416772074,2017
"67","Bukit Timah","Swiss Club","Central Region",5580,1650,830,3110,29.5169418301577,14.8479161933521,55.6349630859337,2017
"68","Bukit Timah","Ulu Pandan","Central Region",10750,3030,1790,5930,28.1860202920741,16.6511473012583,55.1627393834982,2017
"69","Central Water Catchment","Central Water Catchment",NA,0,0,0,0,0,0,0,2017
"70","Changi","Changi Airport","East Region",0,0,0,0,0,0,0,2017
"71","Changi","Changi Point","East Region",740,140,170,430,18.9186632613073,22.9726625315874,58.1073228740152,2017
"72","Changi","Changi West","East Region",1480,620,70,790,41.8916088404808,4.72969777231235,53.3780177160965,2017
"73","Changi Bay","Changi Bay",NA,0,0,0,0,0,0,0,2017
"74","Choa Chu Kang","Choa Chu Kang Central","West Region",21430,6670,1910,12850,31.1245771700527,8.91273499172422,59.9626411746891,2017
"75","Choa Chu Kang","Choa Chu Kang North","West Region",33490,11620,2530,19340,34.6969140946808,7.5544916230243,57.7485644226442,2017
"76","Choa Chu Kang","Keat Hong","West Region",29340,9740,1920,17690,33.1856786420175,6.54173542019236,60.2725518662515,2017
"77","Choa Chu Kang","Peng Siang","West Region",34170,10450,3110,20620,30.5734258123388,9.09888557668649,60.3276593541079,2017
"78","Choa Chu Kang","Teck Whye","West Region",25880,7110,3320,15460,27.4623300647624,12.8234790175825,59.7141522927183,2017
"79","Choa Chu Kang","Yew Tee","West Region",42280,13570,3090,25640,32.080370666579,7.30496281206553,60.6146428806991,2017
"80","Clementi","Clementi Central","West Region",13100,3100,2470,7550,23.628030771318,18.8262051629534,57.5456878462745,2017
"81","Clementi","Clementi North","West Region",30360,6500,6140,17710,21.4167968972663,20.2306358383407,58.3525343154747,2017
"82","Clementi","Clementi West","West Region",16180,3820,2650,9730,23.5802323578813,16.3580145938182,60.0616913199436,2017
"83","Clementi","Clementi Woods","West Region",16160,4040,2810,9330,24.9690822193559,17.3671091674233,57.6637468085619,2017
"84","Clementi","Faber","West Region",4620,1400,590,2640,30.2375156857113,12.7429530389783,57.0193152930555,2017
"85","Clementi","Pandan","West Region",10,0,0,0,0,0,0,2017
"86","Clementi","Sunset Way","West Region",6120,1470,1150,3500,24.0195685954762,18.7908189692501,57.189449036848,2017
"87","Clementi","Toh Tuck","West Region",30,0,0,0,0,0,0,2017
"88","Clementi","West Coast","West Region",6010,1920,720,3390,31.8407432160146,11.9402787060055,56.2188122407757,2017
"89","Downtown Core","Anson","Central Region",90,0,0,0,0,0,0,2017
"90","Downtown Core","Bayfront Subzone","Central Region",0,0,0,0,0,0,0,2017
"91","Downtown Core","Bugis","Central Region",840,120,210,490,14.6339678784405,25.6094437872709,59.7553688369654,2017
"92","Downtown Core","Cecil","Central Region",220,60,10,160,26.0858223555498,4.34763705925829,69.5621929481327,2017
"93","Downtown Core","Central Subzone","Central Region",610,120,30,470,19.3545265398945,4.83863163497363,75.8052289479202,2017
"94","Downtown Core","City Hall","Central Region",70,0,0,0,0,0,0,2017
"95","Downtown Core","Clifford Pier","Central Region",0,0,0,0,0,0,0,2017
"96","Downtown Core","Marina Centre","Central Region",10,0,0,0,0,0,0,2017
"97","Downtown Core","Maxwell","Central Region",0,0,0,0,0,0,0,2017
"98","Downtown Core","Phillip","Central Region",0,0,0,0,0,0,0,2017
"99","Downtown Core","Raffles Place","Central Region",40,0,0,0,0,0,0,2017
"100","Downtown Core","Tanjong Pagar","Central Region",580,80,80,440,13.3331111148148,13.3331111148148,73.3321111314811,2017
"101","Geylang","Aljunied","Central Region",40010,8770,6930,24290,21.9304771366649,17.3293279996679,60.7401698574219,2017
"102","Geylang","Geylang East","Central Region",32140,7780,5470,18890,24.2065886102711,17.0192853082497,58.774094967612,2017
"103","Geylang","Kallang Way","Central Region",40,0,0,0,0,0,0,2017
"104","Geylang","Kampong Ubi","Central Region",12600,3200,1490,7910,25.3968052406308,11.8253874401687,62.7777279541842,2017
"105","Geylang","Macpherson","Central Region",28680,6750,5060,16870,23.5355566472955,17.6429506126393,58.821457872574,2017
"106","Hougang","Defu Industrial Park","North East Region",30,0,0,0,0,0,0,2017
"107","Hougang","Hougang Central","North East Region",4760,1240,660,2860,26.0503654404087,13.8655170892498,60.0839073867492,2017
"108","Hougang","Hougang East","North East Region",24820,6650,2600,15600,26.7605526114476,10.4627724495886,62.7766346975313,2017
"109","Hougang","Hougang West","North East Region",47350,11160,6630,29570,23.5641842136435,13.9991524495033,62.4366422219928,2017
"110","Hougang","Kangkar","North East Region",30180,7870,4000,18340,26.0509678745555,13.2406444089227,60.7083546149108,2017
"111","Hougang","Kovan","North East Region",25900,7000,3630,15260,27.037455759963,14.0208520583808,58.9416535567194,2017
"112","Hougang","Lorong Ah Soo","North East Region",32970,7760,5650,19580,23.5222723485079,17.1263967485915,59.351300590694,2017
"113","Hougang","Lorong Halus","North East Region",0,0,0,0,0,0,0,2017
"114","Hougang","Tai Seng","North East Region",14290,3790,2340,8180,26.484957033573,16.3521898307548,57.162783254519,2017
"115","Hougang","Trafalgar","North East Region",44110,12550,5050,26520,28.4451431447998,11.446053616035,60.1087805737125,2017
"116","Jurong East","International Business Park","West Region",10,0,0,0,0,0,0,2017
"117","Jurong East","Jurong Gateway","West Region",250,70,0,170,29.1654514395234,0,70.8303820674139,2017
"118","Jurong East","Jurong Port","West Region",0,0,0,0,0,0,0,2017
"119","Jurong East","Jurong River","West Region",10,0,0,0,0,0,0,2017
"120","Jurong East","Lakeside","West Region",910,170,220,550,18.0849139902767,23.4040063403581,58.5100158508952,2017
"121","Jurong East","Penjuru Crescent","West Region",10,0,0,0,0,0,0,2017
"122","Jurong East","Teban Gardens","West Region",19780,5090,3170,11510,25.7460668962737,16.0343874383473,58.2194950837152,2017
"123","Jurong East","Toh Guan","West Region",15870,4290,1650,9930,27.0321190723887,10.3969688739957,62.570849041683,2017
"124","Jurong East","Yuhua East","West Region",26330,6070,4320,15940,23.0535423267974,16.4071339129761,60.5392857807498,2017
"125","Jurong East","Yuhua West","West Region",20420,5240,2950,12230,25.6611039857473,14.4466138851058,59.8922331575744,2017
"126","Jurong West","Boon Lay Place","West Region",30090,9040,3300,17770,30.0232381191504,10.9598103753536,59.0169182939494,2017
"127","Jurong West","Boon Lay Place","North Region",30090,9040,3300,17770,30.0232381191504,10.9598103753536,59.0169182939494,2017
"128","Jurong West","Chin Bee","West Region",10,0,0,0,0,0,0,2017
"129","Jurong West","Chin Bee","North Region",10,0,0,0,0,0,0,2017
"130","Jurong West","Hong Kah","West Region",55420,14170,7680,33590,25.5591584489252,13.8528113541105,60.5880121594495,2017
"131","Jurong West","Hong Kah","North Region",55420,14170,7680,33590,25.5591584489252,13.8528113541105,60.5880121594495,2017
"132","Jurong West","Jurong West Central","West Region",67630,20330,5240,42060,30.0606195385747,7.74803966464,62.1913260104501,2017
"133","Jurong West","Jurong West Central","North Region",67630,20330,5240,42060,30.0606195385747,7.74803966464,62.1913260104501,2017
"134","Jurong West","Kian Teck","West Region",50,0,0,0,0,0,0,2017
"135","Jurong West","Kian Teck","North Region",50,0,0,0,0,0,0,2017
"136","Jurong West","Safti","West Region",0,0,0,0,0,0,0,2017
"137","Jurong West","Safti","North Region",0,0,0,0,0,0,0,2017
