month,category,number_of_tankers,gross_tonnage
2005-07,Oil Tankers,1088,25666.08
2005-07,Chemical Tankers,278,2313.58
2005-07,LNG & LPG Tankers,106,2088.11
2005-08,Oil Tankers,1114,27804.47
2005-08,Chemical Tankers,279,2675.39
2005-08,LNG & LPG Tankers,127,3217.46
2005-09,Oil Tankers,1015,24690.15
2005-09,Chemical Tankers,264,2126.01
2005-09,LNG & LPG Tankers,111,2373.44
2005-10,Oil Tankers,1018,24395.54
2005-10,Chemical Tankers,292,2444.46
2005-10,LNG & LPG Tankers,104,2335.03
2005-11,Oil Tankers,1002,22612.35
2005-11,Chemical Tankers,275,2377.1
2005-11,LNG & LPG Tankers,108,2229.91
2005-12,Oil Tankers,1065,24112.41
2005-12,Chemical Tankers,282,2199.38
2005-12,LNG & LPG Tankers,107,2026.98
2006-01,Oil Tankers,1088,26802.1
2006-01,Chemical Tankers,264,2324.48
2006-01,LNG & LPG Tankers,105,2573.94
2006-02,Oil Tankers,981,24891.29
2006-02,Chemical Tankers,252,2098.92
2006-02,LNG & LPG Tankers,114,3150.82
2006-03,Oil Tankers,1079,27555.07
2006-03,Chemical Tankers,277,2341.43
2006-03,LNG & LPG Tankers,130,3577.6
2006-04,Oil Tankers,1111,27817.84
2006-04,Chemical Tankers,267,2326.11
2006-04,LNG & LPG Tankers,128,3949.54
2006-05,Oil Tankers,1138,29293.03
2006-05,Chemical Tankers,306,2501.9
2006-05,LNG & LPG Tankers,132,3827.63
2006-06,Oil Tankers,1135,30041.34
2006-06,Chemical Tankers,285,2482.56
2006-06,LNG & LPG Tankers,115,3446.06
2006-07,Oil Tankers,1163,28479.78
2006-07,Chemical Tankers,284,2576.47
2006-07,LNG & LPG Tankers,117,3011.41
2006-08,Oil Tankers,1149,29644.74
2006-08,Chemical Tankers,288,2179.21
2006-08,LNG & LPG Tankers,137,3926.85
2006-09,Oil Tankers,1183,27553.48
2006-09,Chemical Tankers,273,2280.35
2006-09,LNG & LPG Tankers,136,3775.09
2006-10,Oil Tankers,1097,27029.61
2006-10,Chemical Tankers,296,2569.76
2006-10,LNG & LPG Tankers,117,3190.86
2006-11,Oil Tankers,1121,28740.34
2006-11,Chemical Tankers,290,2398.99
2006-11,LNG & LPG Tankers,123,3122.08
2006-12,Oil Tankers,1097,27828.44
2006-12,Chemical Tankers,284,2305.52
2006-12,LNG & LPG Tankers,133,3958.1
2007-01,Oil Tankers,1189,30354.11
2007-01,Chemical Tankers,305,2569.39
2007-01,LNG & LPG Tankers,124,3400.17
2007-02,Oil Tankers,1096,27685.78
2007-02,Chemical Tankers,284,2280.66
2007-02,LNG & LPG Tankers,105,2957.78
2007-03,Oil Tankers,1270,33139.81
2007-03,Chemical Tankers,282,2359.76
2007-03,LNG & LPG Tankers,123,3366.55
2007-04,Oil Tankers,1180,30443.89
2007-04,Chemical Tankers,317,2722.96
2007-04,LNG & LPG Tankers,110,3456.27
2007-05,Oil Tankers,1183,30844.43
2007-05,Chemical Tankers,299,2452.21
2007-05,LNG & LPG Tankers,109,3118.17
2007-06,Oil Tankers,1206,30744.49
2007-06,Chemical Tankers,298,2538.45
2007-06,LNG & LPG Tankers,109,3183.98
2007-07,Oil Tankers,1247,32009.21
2007-07,Chemical Tankers,284,2323.82
2007-07,LNG & LPG Tankers,118,4339.57
2007-08,Oil Tankers,1197,29559.78
2007-08,Chemical Tankers,295,2434.54
2007-08,LNG & LPG Tankers,119,3979.2
2007-09,Oil Tankers,1215,33313.67
2007-09,Chemical Tankers,286,2357.47
2007-09,LNG & LPG Tankers,138,5265.51
2007-10,Oil Tankers,1235,31585.76
2007-10,Chemical Tankers,289,2430.16
2007-10,LNG & LPG Tankers,116,3956.3
2007-11,Oil Tankers,1150,29474.63
2007-11,Chemical Tankers,285,2389.12
2007-11,LNG & LPG Tankers,130,5163.36
2007-12,Oil Tankers,1175,28093.09
2007-12,Chemical Tankers,287,2776.84
2007-12,LNG & LPG Tankers,157,6376.96
2008-01,Oil Tankers,1190,32024.42
2008-01,Chemical Tankers,278,2359.5
2008-01,LNG & LPG Tankers,142,5954.41
2008-02,Oil Tankers,1059,30721.97
2008-02,Chemical Tankers,274,2508.91
2008-02,LNG & LPG Tankers,144,5097.76
2008-03,Oil Tankers,1211,35298
2008-03,Chemical Tankers,310,2885.17
2008-03,LNG & LPG Tankers,164,6126.3
2008-04,Oil Tankers,1258,36663.27
2008-04,Chemical Tankers,321,2684.78
2008-04,LNG & LPG Tankers,160,6610.02
2008-05,Oil Tankers,1165,31659.4
2008-05,Chemical Tankers,297,2700.93
2008-05,LNG & LPG Tankers,175,6583.26
2008-06,Oil Tankers,1159,31326.82
2008-06,Chemical Tankers,346,2924.75
2008-06,LNG & LPG Tankers,159,6062.05
2008-07,Oil Tankers,1155,28991
2008-07,Chemical Tankers,334,2956.1
2008-07,LNG & LPG Tankers,150,6124.51
2008-08,Oil Tankers,1197,33040.43
2008-08,Chemical Tankers,349,3261.83
2008-08,LNG & LPG Tankers,161,6933.53
2008-09,Oil Tankers,1098,31242.77
2008-09,Chemical Tankers,318,2764.14
2008-09,LNG & LPG Tankers,163,6291.91
2008-10,Oil Tankers,1041,29002.77
2008-10,Chemical Tankers,339,3028.25
2008-10,LNG & LPG Tankers,146,5290.75
2008-11,Oil Tankers,1080,29433.13
2008-11,Chemical Tankers,328,2903.97
2008-11,LNG & LPG Tankers,156,5438.11
2008-12,Oil Tankers,1143,29224.72
2008-12,Chemical Tankers,349,3247.59
2008-12,LNG & LPG Tankers,141,5048.06
2009-01,Oil Tankers,1148,33704.43
2009-01,Chemical Tankers,334,2962.9
2009-01,LNG & LPG Tankers,136,5307.11
2009-02,Oil Tankers,997,26662.37
2009-02,Chemical Tankers,335,3009.03
2009-02,LNG & LPG Tankers,128,4609.86
2009-03,Oil Tankers,1182,33319.63
2009-03,Chemical Tankers,362,3528.43
2009-03,LNG & LPG Tankers,142,5642.79
2009-04,Oil Tankers,1143,31926.54
2009-04,Chemical Tankers,352,3399.5
2009-04,LNG & LPG Tankers,157,5620.65
2009-05,Oil Tankers,1238,38082.69
2009-05,Chemical Tankers,356,3791.58
2009-05,LNG & LPG Tankers,154,5644.99
2009-06,Oil Tankers,1201,36316.37
2009-06,Chemical Tankers,385,3757.89
2009-06,LNG & LPG Tankers,141,4170.14
2009-07,Oil Tankers,1179,35418.42
2009-07,Chemical Tankers,392,4177.97
2009-07,LNG & LPG Tankers,147,4951.76
2009-08,Oil Tankers,1231,40148.48
2009-08,Chemical Tankers,369,3743.19
2009-08,LNG & LPG Tankers,140,4379.32
2009-09,Oil Tankers,1181,36767.16
2009-09,Chemical Tankers,355,3579.55
2009-09,LNG & LPG Tankers,126,4878.56
2009-10,Oil Tankers,1234,38380.15
2009-10,Chemical Tankers,394,4140.69
2009-10,LNG & LPG Tankers,142,4887.63
